wine_id,name,varietal,price,description,Region_Id
92,Second Growth Willamette Pinot Noir,Pinot Noir,19.99,"This Pinot Noir is dark and rich, leading with red cherry, plum, black tea and raspberry. The wine finishes with bright red fruit, spice and vanilla. All the wines from this boutique producer are made from estate grown, biodynamically farmed grapes. Only 700 cases produced.",780
93,Second Growth Willamette Valley Rose,Rose,14.99,"Let your senses be taken away by pineapple, guava, sea breeze, married with white flowers and fresh cut strawberries. Expect a broad and juicy structure on the palate with crisp vibrancy and a dry finish.",780
94,Serra Da Estrela Albarino,Albarino,15.99,"Straw yellow in color with hints of green.  On you nose you will find hints of apricot, pear complimented by a lemon-lime vibrancy.  The palate shows fresh acidity, with citrus, mineral and briny notes.  

A perfect pairing for any shellfish dish.",665
95,Shortbread Cellars Chardonnay,Chardonnay,11.99,"Like the cookie of the same name, Shortbread wine is light, buttery, and simply delightful. Treat yourself any day of the week!

VINEYARD INFO/REGION
We selected grapes from across California’s best cool climate growing regions—from California’s North Coast to the Delta Region of the Sacramento River. With warm sunny days moderated by marine influences, conditions in these areas create an ideal climate for growing Chardonnay. Grapes harvested from a variety of regions are able to provide unique flavor components that together create a balanced, complex and harmonious wine.

TASTING NOTES
Tropical piña colada-esque notes of creamy coconut, pineapple, key lime and pink guava anchored by vanilla and toasted oak create a creamy mouthfeel and smooth finish. A perfect mate to grilled halibut with mango salsa or fresh ricotta drizzled with honey.",782
96,Silver Beach Sauvignon Blanc,Sauvignon Blanc,13.99,na,537
97,Stephen Goff Weber Vineyard Pinot Noir,Pinot Noir,38.99,"""While the 2015 vintage was once of the most delicate renditions of Weber I have ever produced, 2016 is by far the darkest and most intense wine I have ever made from this site. While big by Weber standards this wine still brings all of the elegance, nuance and finesse that fans of this site have come to love and enjoy. The higher toned aromatics and lithe structure are all there coupled with a more robust and opulent dark red fruit profile. The best Weber I have produced to date.""",780
98,Stratum Sauvignon Blanc,Sauvignon Blanc,12.99,na,540
99,Summer Sip Vin De France Rose,Rose,9.99,Bring on summer ... and rosé. Our favorite easy-drinking wine is the perfect way to celebrate sunshine and good times. We're sharing our go- to summer sips: enjoy it all with friends!,296
100,Tardieu Laurent Rasteau Vielles Vignes,"Grenache, Syrah, Mourvedre",21.99,"Tardieu Laurent consistently sources and produces top notch Rhone wines and the Rasteau is no exception. Ripe, dark fruited and powerful, this Grenache based blend is sure to please.",263
101,Terra Santa Ile De Beaute Blanc,"Vermentino, Chardonnay",9.99,na,200
102,Terra Santa Ile De Beaute Rose,Rose,9.99,na,199
103,Terre Di Borgano Chianti,Sangiovese,9.99,na,373
104,The Culprit Red Blend,"Zinfandel, Cabernet Sauvignon, Petite Sirah, Cabernet Franc",15.99,"You will be hard-pressed to resist this gem of a red blend. Displays intense aromas of fresh, ripe raspberries and toasty vanilla oak. Flavors of blackberry jam and deep, dark chocolate are framed by a velvety style. This fruit-forward, palate-pleasing wine finishes long, lingering , and smooth.",754
105,Vega Moragona Tempranillo La Duna Single Vineyard,Tempranillo,12.99,na,669
106,Villa Olmi Prosecco,"Prosecco, Sparkling",9.99,na,438
107,Wheat Ridge Cellars Bourbon Barrel Aged Red Blend,"Cabernet Sauvignon, Merlot, Zinfandel",10.99,"Fields of wheat and corn shimmer like fireflies under golden sunbeams across the Midwestern US. This is the heart of bourbon country. Nearly 2,000 miles away, vineyards stretch across the rolling hills of some of California’s most premier wine regions. Wheatridge Cellars seeks to bring these places together in one bottle through aging in bourbon barrels.

VINEYARD INFO/REGION
For this wine, we source grapes from California’s best growing regions. The climate is generally Mediterranean, though regions closer to the Pacific Ocean benefit from cool breezes. The 2017 vintage brought a close to the multiyear drought—filling reservoirs and bringing new life to cover crops, and then to the vines. Lots are selected to blend the characteristics from these varied regions.

WINEMAKING/VITICULTURE
From all across California, our winemaking team hand selects several grape varieties to use in our premium Red Blend. A portion of this wine then goes into used bourbon barrels, which impart the warm, caramel and coffee flavors of fine bourbon. Final blending helps to integrate both flavor profiles, creating a complex, multilayered wine.

TASTING NOTES
For this wine, traditional aromas of both premium red wine and bourbon mingle in the glass - black cherry, raspberry, molasses, and charred vanilla invite you in for a sip. On the palate, rich notes of black cherry and blackberry layer over brown sugar, coffee, and caramel.

FOOD PAIRING: Summer vegetable ratatouille or barbecue glazed beef short ribs.",782
108,Xanthos Oakville Cabernet Sauvignon,Cabernet Sauvignon,29.99,na,744
109,l'Odalet Pinot Noir Pays d'Oc,Pinot Noir,10.99,na,228
110,25 Days Red Blend,"Zinfandel, Petite Sirah, Sangiovese",16.99,"On June 14, 1846, a revolt against Mexico claimed Sonoma County as an independent Republic of California for 25 days, marked by the now-famous Bear Flag. This strength, passion, and commitment was a precursor to the modern day Sonoma County, a place we are proud to call home. Our wines are a reflection of these values.

TASTING NOTES: Plush plum and black cherry on the nose are flanked by more dark fruits and dried herbs on the palate—think oregano and thyme. Graphite on the back palate leads to a finish marked with good acidity and length. Pair with a wild mushroom and thyme flatbread or heartier dishes like short ribs and burgers.",772
111,A Tout de Suite Pinot Noir Grochau Cellars,Pinot Noir,21.99,"This wine is all about the bright fresh purity of Willamette Valley Pinot Noir! Our first release Pinot Noir each year is a blend from multiple Willamette Valley vineyards that capture the essence of each vintage. It’s a wine for every occasion from a family dinner to relaxing in front of the TV. Take it to the beach, the mountains, the office party or along on a bike ride (not encouraging, just saying). This is your anytime go-to bottle. Drink up!",780
112,Ad Vivum Cabernet Sauvignon,Cabernet Sauvignon,174.99,na,744
113,Aiken Cabernet Sauvignon Oakville,Cabernet Sauvignon,124.99,Aiken Wines is Joel’s new project with his inaugural vintage of 2009. His Oakville Cabernet Sauvignon is 100% organically farmed Cabernet from Oakville Ranch near Dalle Valle and Stagecoach. The wine can be enjoyed in its youth but some bottle aging is allowing this wine to show its real heart.,744
114,Aloft Cabernet Sauvignon,Cabernet Sauvignon,169.99,na,744
115,Amici Cabernet Sauvignon Napa Valley,"Cabernet Sauvignon, Merlot, Petit Verdot, Cabernet Franc",49.99,"The Amici Appellation wines are made to capture the essence of its unique viticultural area through flagship bottlings and delicious flavor profiles.  Our family-owned winery is nestled in the foothills of the Palisades, just outside Calistoga, Napa Valley, where we are dedicated to producing true-to-varietal wines from exceptional vineyard sources.",744
116,Amici Cabernet Sauvignon Reserve,Cabernet Sauvignon,94.99,"This 2018 Amici Cellars Reserve Cabernet Sauvignon highlights the lush, ripe fruit and Rutherford Dust of valley floor vineyards along with the structure and ageability of Napa Valley’s best mountain appellations. Aromas of blackberry, black currant and blueberry compote give way to notes of cedar box, soy, and currant. The palate is dense and viscous with laser-like precision. Richly fruit-forward with black raspberry, black plum and blackberry cobbler, the wine is also layered with spice, from savory herbs to vanilla and hazelnut. A long, fruit-driven finish leaves you wanting another sip.",744
117,Amici Cellars Pinot Noir Russian River Valley,Pinot Noir,39.99,na,759
118,Amici Cellars Sonoma Coast Chardonnay,Chardonnay,24.99,"The 2016 Amici Cellars Chardonnay Sonoma Coast is a classic Chardonnay with aromatic complexity and a fine balance of richness with delicate acidity. Enticing crisp apple, Bartlett pear, lemon lime, and hazelnut aromas on this wine lead to a rich meyer lemon, and lemon oil flavor on the palate and a long mineral finish. It is richly textured with a subtle hint of butter to contrast its crisp, clean finish.",771
119,Amici Charles Heintz Chardonnay,Chardonnay,47.99,na,759
120,Amici Sauvignon Blanc Napa Valley,"Sauvignon Blanc, Semillon",24.99,na,744
121,Amuse Bouche Red Blend,"Merlot, Cabernet Franc",224.99,"Winemaker Heidi Barrett explains, ""We have created Amuse Bouche, a limited edition, superb Pomerol style wine with the added value of limited edition art that is available to consumers through a variety of channels.""",744
122,Andre Chemin Brut Champagne,"Sparkling, Champagne",36.99,"A beautiful blanc des noirs from sustainably farmed vineyards. It's rich and expressive with notes of baked apple pie, brioche, and lemon curd with a toasty palate driven by persistent fine bubbles and a lengthy finish.",144
123,Andre Chemin Brut Rose Champagne NV,"Sparkling, Champagne",44.99,The Andre Chemin rose is a beautiful Champagne made from hand harvested sustainable grapes. It is beautiful and expressive of red berry and brioche with a refreshing minerality and expansive palate driven by fine bubbles.,144
124,Angels Landing Meritage Reserve,"Cabernet Sauvignon, Merlot, Malbec",18.99,"Lush aromas of plum, blackberry and dried herbs with a touch of vanilla and mocha. Rich and smooth with delicious dark berry flavors, hints of cedar and dark chocolate. Soft tannins and a lingering finish.",744
125,Baglio Al Sole Pinot Grigio,Pinot Grigio,9.99,na,400
126,Baglio Al Sole Primitivo,"Primitivo, Zinfandel",9.99,na,451
127,Balthazar Fry Pinot Blanc,Pinot Blanc,14.99,na,110
128,Barnett Cabernet Sauvignon Spring Mountain,Cabernet Sauvignon,89.99,na,744
129,Barnett Merlot Spring Mountain District,"Merlot, Cabernet Franc, Petit Verdot",69.99,na,744
130,Barnett Rattlesnake Hill Cabernet,Cabernet Sauvignon,179.99,na,744
131,Bodegas Langa Real De Aragon Centenarias,Garnacha,17.99,na,649
132,Boisset Auxey Duresses 1er Cru Climat Du Val,Pinot Noir,39.99,na,116
133,Bortoluzzi Pinot Grigio Venezia Giulia,Pinot Grigio,17.99,na,483
134,Briar Hill Chardonnay Santa Barbara County,Chardonnay,19.99,"100% Chardonnay from Santa Barbara County in California's Central Coast. Barrel-aged and displaying lovely ripe apple, delicious pear, and toasty vanilla with just the right amount of mouth-watering acidity to create a perfect balance. Ideal with everything from zucchini and goat cheese flatbread to seared sea scallops with lemon and capers.",761
135,Caliterra Carmenere Reserva Estate Grown,Carmenere,10.99,na,72
136,Caliterra Reserva Cabernet Sauvignon,Cabernet Sauvignon,10.99,na,71
137,Caliterra Reserva Chardonnay,Chardonnay,10.99,na,72
